==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
     221   -202.02688643   -206.52352498    321.11  2022-01-12 Wed 19:59:48.59
     222   -202.02688365   -206.52402837    322.16  2022-01-12 Wed 19:59:59.26
     223   -202.02687965   -206.52441662    323.54  2022-01-12 Wed 20:00:10.01
     224   -202.02687480   -206.52471874    324.08  2022-01-12 Wed 20:00:20.69
     225   -202.02686998   -206.52497226    323.50  2022-01-12 Wed 20:00:31.67
     226   -202.02686635   -206.52524909    321.40  2022-01-12 Wed 20:00:42.30
     227   -202.02686495   -206.52564450    318.07  2022-01-12 Wed 20:00:53.01
     228   -202.02686677   -206.52623570    315.13  2022-01-12 Wed 20:01:03.81
     229   -202.02687176   -206.52702554    313.06  2022-01-12 Wed 20:01:14.58
     230   -202.02687906   -206.52794662    311.60  2022-01-12 Wed 20:01:25.57
     231   -202.02688738   -206.52890484    310.48  2022-01-12 Wed 20:01:36.27
     232   -202.02689391   -206.52981092    309.45  2022-01-12 Wed 20:01:47.15
     233   -202.02689817   -206.53058994    308.46  2022-01-12 Wed 20:01:59.23
     234   -202.02689879   -206.53118446    307.64  2022-01-12 Wed 20:02:09.96
     235   -202.02689603   -206.53155736    307.27  2022-01-12 Wed 20:02:21.01
     236   -202.02689107   -206.53167388    307.60  2022-01-12 Wed 20:02:31.84
     237   -202.02688480   -206.53145085    308.54  2022-01-12 Wed 20:02:42.59
     238   -202.02687709   -206.53073280    309.55  2022-01-12 Wed 20:02:53.33
     239   -202.02686936   -206.52950213    308.85  2022-01-12 Wed 20:03:04.26
     240   -202.02686498   -206.52813229    307.42  2022-01-12 Wed 20:03:14.98
     241   -202.02686291   -206.52689426    307.72  2022-01-12 Wed 20:03:25.77
     242   -202.02686065   -206.52573007    309.56  2022-01-12 Wed 20:03:36.49
     243   -202.02685739   -206.52454389    311.93  2022-01-12 Wed 20:03:47.14
     244   -202.02685352   -206.52333301    313.85  2022-01-12 Wed 20:03:57.92
     245   -202.02684993   -206.52216624    314.71  2022-01-12 Wed 20:04:09.19
     246   -202.02684757   -206.52111888    314.57  2022-01-12 Wed 20:04:20.07
     247   -202.02684632   -206.52025572    314.08  2022-01-12 Wed 20:04:30.86
     248   -202.02684601   -206.51964426    314.21  2022-01-12 Wed 20:04:41.58
     249   -202.02684658   -206.51929469    314.65  2022-01-12 Wed 20:04:52.35
     250   -202.02684617   -206.51913709    313.29  2022-01-12 Wed 20:05:03.38
     251   -202.02684527   -206.51913373    311.30  2022-01-12 Wed 20:05:14.18
     252   -202.02684425   -206.51924877    310.09  2022-01-12 Wed 20:05:24.94
     253   -202.02684419   -206.51942834    309.11  2022-01-12 Wed 20:05:35.71
     254   -202.02684521   -206.51966287    307.96  2022-01-12 Wed 20:05:46.52
     255   -202.02684757   -206.51999445    306.59  2022-01-12 Wed 20:05:57.21
     256   -202.02685167   -206.52048461    305.27  2022-01-12 Wed 20:06:07.86
     257   -202.02685778   -206.52117071    304.23  2022-01-12 Wed 20:06:18.50
     258   -202.02686557   -206.52203489    303.76  2022-01-12 Wed 20:06:29.13
     259   -202.02687353   -206.52299312    304.07  2022-01-12 Wed 20:06:39.84
     260   -202.02687958   -206.52390342    304.84  2022-01-12 Wed 20:06:51.50
     261   -202.02688226   -206.52460344    305.02  2022-01-12 Wed 20:07:02.14
     262   -202.02688098   -206.52500826    304.25  2022-01-12 Wed 20:07:12.74
     263   -202.02687666   -206.52518211    303.26  2022-01-12 Wed 20:07:23.49
     264   -202.02687068   -206.52528373    302.64  2022-01-12 Wed 20:07:34.79
     265   -202.02686471   -206.52547785    302.69  2022-01-12 Wed 20:07:45.66
     266   -202.02685962   -206.52588932    303.43  2022-01-12 Wed 20:07:56.27
     267   -202.02685679   -206.52660064    304.72  2022-01-12 Wed 20:08:07.22
     268   -202.02685622   -206.52766459    306.45  2022-01-12 Wed 20:08:17.82
     269   -202.02685815   -206.52910029    308.61  2022-01-12 Wed 20:08:28.38
     270   -202.02686238   -206.53086685    310.96  2022-01-12 Wed 20:08:39.25
     271   -202.02686843   -206.53281640    312.63  2022-01-12 Wed 20:08:50.03
     272   -202.02687481   -206.53467606    312.42  2022-01-12 Wed 20:09:00.94
     273   -202.02688069   -206.53618580    311.26  2022-01-12 Wed 20:09:11.94
     274   -202.02688512   -206.53720723    310.71  2022-01-12 Wed 20:09:24.85
     275   -202.02688733   -206.53764700    310.32  2022-01-12 Wed 20:09:35.54
     276   -202.02688510   -206.53748096    309.41  2022-01-12 Wed 20:09:46.62
     277   -202.02687748   -206.53687532    308.41  2022-01-12 Wed 20:09:57.49
     278   -202.02686680   -206.53613313    307.70  2022-01-12 Wed 20:10:08.27
     279   -202.02685627   -206.53549667    307.23  2022-01-12 Wed 20:10:18.98
     280   -202.02684829   -206.53504001    306.91  2022-01-12 Wed 20:10:29.57
     281   -202.02684312   -206.53472250    306.05  2022-01-12 Wed 20:10:40.25
     282   -202.02684104   -206.53451590    304.49  2022-01-12 Wed 20:10:50.81
