====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      3.2800      0.0806      1.4393      2.7686      2.7686
   1   1      3.2900      0.0781      1.3866      2.7967      2.7967
   1   1      3.3000      0.0766      1.3516      2.8243      2.8243
   1   1      3.3100      0.0755      1.3239      2.8515      2.8515
   1   1      3.3200      0.0736      1.2831      2.8780      2.8780
   1   1      3.3300      0.0710      1.2297      2.9036      2.9036
   1   1      3.3400      0.0690      1.1874      2.9284      2.9284
   1   1      3.3500      0.0685      1.1723      2.9531      2.9531
   1   1      3.3600      0.0676      1.1498      2.9774      2.9774
   1   1      3.3700      0.0659      1.1143      3.0011      3.0011
   1   1      3.3800      0.0619      1.0410      3.0234      3.0234
   1   1      3.3900      0.0598      0.9992      3.0450      3.0450
   1   1      3.4000      0.0560      0.9302      3.0651      3.0651
   1   1      3.4100      0.0558      0.9209      3.0852      3.0852
   1   1      3.4200      0.0541      0.8888      3.1047      3.1047
   1   1      3.4300      0.0532      0.8692      3.1238      3.1238
   1   1      3.4400      0.0513      0.8323      3.1423      3.1423
   1   1      3.4500      0.0489      0.7892      3.1599      3.1599
   1   1      3.4600      0.0478      0.7668      3.1771      3.1771
   1   1      3.4700      0.0467      0.7445      3.1939      3.1939
   1   1      3.4800      0.0453      0.7188      3.2102      3.2102
   1   1      3.4900      0.0456      0.7186      3.2266      3.2266
   1   1      3.5000      0.0429      0.6724      3.2421      3.2421
   1   1      3.5100      0.0417      0.6500      3.2571      3.2571
   1   1      3.5200      0.0402      0.6229      3.2716      3.2716
   1   1      3.5300      0.0375      0.5778      3.2851      3.2851
   1   1      3.5400      0.0367      0.5623      3.2983      3.2983
   1   1      3.5500      0.0351      0.5357      3.3109      3.3109
   1   1      3.5600      0.0357      0.5408      3.3238      3.3238
   1   1      3.5700      0.0352      0.5306      3.3364      3.3364
   1   1      3.5800      0.0354      0.5309      3.3492      3.3492
   1   1      3.5900      0.0341      0.5086      3.3615      3.3615
   1   1      3.6000      0.0333      0.4940      3.3735      3.3735
   1   1      3.6100      0.0323      0.4760      3.3851      3.3851
   1   1      3.6200      0.0329      0.4816      3.3969      3.3969
   1   1      3.6300      0.0324      0.4724      3.4086      3.4086
   1   1      3.6400      0.0329      0.4764      3.4204      3.4204
   1   1      3.6500      0.0323      0.4657      3.4321      3.4321
   1   1      3.6600      0.0327      0.4682      3.4438      3.4438
   1   1      3.6700      0.0346      0.4936      3.4563      3.4563
   1   1      3.6800      0.0329      0.4672      3.4681      3.4681
   1   1      3.6900      0.0338      0.4773      3.4803      3.4803
   1   1      3.7000      0.0353      0.4957      3.4930      3.4930
   1   1      3.7100      0.0358      0.4999      3.5059      3.5059
   1   1      3.7200      0.0359      0.4981      3.5189      3.5189
   1   1      3.7300      0.0359      0.4957      3.5318      3.5318
   1   1      3.7400      0.0367      0.5039      3.5450      3.5450
   1   1      3.7500      0.0382      0.5216      3.5588      3.5588
   1   1      3.7600      0.0391      0.5311      3.5728      3.5728
   1   1      3.7700      0.0394      0.5322      3.5870      3.5870
   1   1      3.7800      0.0406      0.5458      3.6016      3.6016
   1   1      3.7900      0.0419      0.5606      3.6167      3.6167
   1   1      3.8000      0.0435      0.5779      3.6324      3.6324
   1   1      3.8100      0.0445      0.5891      3.6484      3.6484
   1   1      3.8200      0.0437      0.5754      3.6641      3.6641
   1   1      3.8300      0.0481      0.6293      3.6814      3.6814
   1   1      3.8400      0.0483      0.6297      3.6988      3.6988
   1   1      3.8500      0.0499      0.6463      3.7168      3.7168
   1   1      3.8600      0.0516      0.6650      3.7354      3.7354
   1   1      3.8700      0.0545      0.6983      3.7550      3.7550
   1   1      3.8800      0.0550      0.7022      3.7748      3.7748
   1   1      3.8900      0.0545      0.6911      3.7944      3.7944
   1   1      3.9000      0.0557      0.7029      3.8144      3.8144
   1   1      3.9100      0.0566      0.7116      3.8348      3.8348
   1   1      3.9200      0.0573      0.7159      3.8554      3.8554
   1   1      3.9300      0.0576      0.7160      3.8762      3.8762
   1   1      3.9400      0.0590      0.7296      3.8974      3.8974
   1   1      3.9500      0.0620      0.7634      3.9197      3.9197
   1   1      3.9600      0.0615      0.7533      3.9419      3.9419
   1   1      3.9700      0.0636      0.7749      3.9648      3.9648
   1   1      3.9800      0.0665      0.8066      3.9887      3.9887
   1   1      3.9900      0.0687      0.8293      4.0135      4.0135
   1   1      4.0000      0.0703      0.8435      4.0387      4.0387
   1   1      4.0100      0.0719      0.8582      4.0646      4.0646
   1   1      4.0200      0.0728      0.8647      4.0908      4.0908
   1   1      4.0300      0.0739      0.8737      4.1174      4.1174
   1   1      4.0400      0.0764      0.8990      4.1449      4.1449
   1   1      4.0500      0.0791      0.9260      4.1734      4.1734
   1   1      4.0600      0.0802      0.9343      4.2022      4.2022
   1   1      4.0700      0.0821      0.9513      4.2318      4.2318
   1   1      4.0800      0.0833      0.9613      4.2618      4.2618
   1   1      4.0900      0.0832      0.9553      4.2917      4.2917
   1   1      4.1000      0.0844      0.9638      4.3221      4.3221
   1   1      4.1100      0.0856      0.9728      4.3529      4.3529
   1   1      4.1200      0.0879      0.9941      4.3845      4.3845
   1   1      4.1300      0.0867      0.9765      4.4158      4.4158
   1   1      4.1400      0.0869      0.9737      4.4470      4.4470
   1   1      4.1500      0.0875      0.9761      4.4786      4.4786
   1   1      4.1600      0.0882      0.9783      4.5103      4.5103
   1   1      4.1700      0.0898      0.9914      4.5426      4.5426
   1   1      4.1800      0.0925      1.0167      4.5759      4.5759
   1   1      4.1900      0.0917      1.0037      4.6089      4.6089
   1   1      4.2000      0.0908      0.9891      4.6416      4.6416
   1   1      4.2100      0.0930      1.0073      4.6751      4.6751
   1   1      4.2200      0.0924      0.9963      4.7084      4.7084
   1   1      4.2300      0.0923      0.9910      4.7416      4.7416
   1   1      4.2400      0.0923      0.9862      4.7748      4.7748
   1   1      4.2500      0.0934      0.9928      4.8084      4.8084
   1   1      4.2600      0.0938      0.9925      4.8422      4.8422
   1   1      4.2700      0.0922      0.9715      4.8754      4.8754
   1   1      4.2800      0.0934      0.9787      4.9090      4.9090
   1   1      4.2900      0.0925      0.9650      4.9423      4.9423
   1   1      4.3000      0.0916      0.9514      4.9753      4.9753
   1   1      4.3100      0.0919      0.9501      5.0084      5.0084
   1   1      4.3200      0.0908      0.9345      5.0410      5.0410
   1   1      4.3300      0.0921      0.9434      5.0742      5.0742
   1   1      4.3400      0.0887      0.9043      5.1061      5.1061
   1   1      4.3500      0.0898      0.9111      5.1384      5.1384
   1   1      4.3600      0.0897      0.9060      5.1707      5.1707
   1   1      4.3700      0.0877      0.8824      5.2023      5.2023
   1   1      4.3800      0.0865      0.8660      5.2335      5.2335
   1   1      4.3900      0.0886      0.8827      5.2653      5.2653
   1   1      4.4000      0.0872      0.8652      5.2967      5.2967
   1   1      4.4100      0.0828      0.8175      5.3265      5.3265
   1   1      4.4200      0.0822      0.8079      5.3561      5.3561
   1   1      4.4300      0.0797      0.7802      5.3848      5.3848
