====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      4.0100      0.0799      0.9542      3.9156      3.9156
   1   1      4.0200      0.0849      1.0085      3.9461      3.9461
   1   1      4.0300      0.0860      1.0176      3.9771      3.9771
   1   1      4.0400      0.0876      1.0306      4.0086      4.0086
   1   1      4.0500      0.0906      1.0611      4.0413      4.0413
   1   1      4.0600      0.0921      1.0727      4.0744      4.0744
   1   1      4.0700      0.0956      1.1088      4.1088      4.1088
   1   1      4.0800      0.0980      1.1310      4.1441      4.1441
   1   1      4.0900      0.0983      1.1292      4.1795      4.1795
   1   1      4.1000      0.1032      1.1788      4.2167      4.2167
   1   1      4.1100      0.1040      1.1824      4.2541      4.2541
   1   1      4.1200      0.1047      1.1846      4.2918      4.2918
   1   1      4.1300      0.1049      1.1810      4.3296      4.3296
   1   1      4.1400      0.1056      1.1830      4.3676      4.3676
   1   1      4.1500      0.1096      1.2221      4.4070      4.4070
   1   1      4.1600      0.1108      1.2301      4.4469      4.4469
   1   1      4.1700      0.1102      1.2169      4.4866      4.4866
   1   1      4.1800      0.1121      1.2327      4.5270      4.5270
   1   1      4.1900      0.1111      1.2153      4.5670      4.5670
   1   1      4.2000      0.1123      1.2230      4.6074      4.6074
   1   1      4.2100      0.1071      1.1610      4.6460      4.6460
   1   1      4.2200      0.1100      1.1860      4.6856      4.6856
   1   1      4.2300      0.1087      1.1662      4.7247      4.7247
   1   1      4.2400      0.1080      1.1541      4.7636      4.7636
   1   1      4.2500      0.1108      1.1779      4.8034      4.8034
   1   1      4.2600      0.1075      1.1376      4.8421      4.8421
   1   1      4.2700      0.1098      1.1569      4.8817      4.8817
   1   1      4.2800      0.1094      1.1466      4.9210      4.9210
   1   1      4.2900      0.1073      1.1201      4.9597      4.9597
   1   1      4.3000      0.1093      1.1350      4.9990      4.9990
   1   1      4.3100      0.1084      1.1212      5.0381      5.0381
   1   1      4.3200      0.1068      1.0992      5.0765      5.0765
   1   1      4.3300      0.1068      1.0941      5.1150      5.1150
   1   1      4.3400      0.1054      1.0748      5.1529      5.1529
   1   1      4.3500      0.1026      1.0409      5.1898      5.1898
   1   1      4.3600      0.1046      1.0567      5.2275      5.2275
   1   1      4.3700      0.1036      1.0421      5.2648      5.2648
   1   1      4.3800      0.0990      0.9911      5.3004      5.3004
   1   1      4.3900      0.0991      0.9874      5.3361      5.3361
   1   1      4.4000      0.0983      0.9747      5.3715      5.3715
   1   1      4.4100      0.0977      0.9647      5.4066      5.4066
   1   1      4.4200      0.0947      0.9310      5.4407      5.4407
   1   1      4.4300      0.0895      0.8761      5.4730      5.4730
   1   1      4.4400      0.0889      0.8663      5.5050      5.5050
   1   1      4.4500      0.0886      0.8595      5.5369      5.5369
   1   1      4.4600      0.0862      0.8325      5.5679      5.5679
   1   1      4.4700      0.0817      0.7853      5.5973      5.5973
   1   1      4.4800      0.0790      0.7557      5.6257      5.6257
   1   1      4.4900      0.0785      0.7482      5.6540      5.6540
   1   1      4.5000      0.0768      0.7288      5.6817      5.6817
   1   1      4.5100      0.0752      0.7101      5.7088      5.7088
   1   1      4.5200      0.0709      0.6668      5.7343      5.7343
   1   1      4.5300      0.0680      0.6360      5.7588      5.7588
   1   1      4.5400      0.0652      0.6077      5.7822      5.7822
   1   1      4.5500      0.0635      0.5887      5.8051      5.8051
   1   1      4.5600      0.0601      0.5554      5.8267      5.8267
   1   1      4.5700      0.0610      0.5610      5.8487      5.8487
   1   1      4.5800      0.0568      0.5198      5.8691      5.8691
   1   1      4.5900      0.0546      0.4978      5.8888      5.8888
   1   1      4.6000      0.0539      0.4896      5.9082      5.9082
   1   1      4.6100      0.0507      0.4583      5.9265      5.9265
   1   1      4.6200      0.0507      0.4562      5.9447      5.9447
   1   1      4.6300      0.0510      0.4571      5.9631      5.9631
   1   1      4.6400      0.0473      0.4218      5.9801      5.9801
   1   1      4.6500      0.0467      0.4145      5.9969      5.9969
   1   1      4.6600      0.0471      0.4167      6.0139      6.0139
   1   1      4.6700      0.0461      0.4061      6.0305      6.0305
   1   1      4.6800      0.0445      0.3899      6.0465      6.0465
   1   1      4.6900      0.0450      0.3928      6.0627      6.0627
   1   1      4.7000      0.0441      0.3834      6.0785      6.0785
   1   1      4.7100      0.0476      0.4118      6.0957      6.0957
   1   1      4.7200      0.0479      0.4128      6.1129      6.1129
   1   1      4.7300      0.0470      0.4037      6.1298      6.1298
   1   1      4.7400      0.0495      0.4232      6.1477      6.1477
   1   1      4.7500      0.0449      0.3822      6.1638      6.1638
   1   1      4.7600      0.0456      0.3862      6.1802      6.1802
   1   1      4.7700      0.0498      0.4203      6.1981      6.1981
   1   1      4.7800      0.0513      0.4311      6.2166      6.2166
   1   1      4.7900      0.0513      0.4294      6.2351      6.2351
   1   1      4.8000      0.0528      0.4403      6.2541      6.2541
   1   1      4.8100      0.0575      0.4773      6.2748      6.2748
   1   1      4.8200      0.0587      0.4855      6.2959      6.2959
   1   1      4.8300      0.0614      0.5055      6.3180      6.3180
   1   1      4.8400      0.0633      0.5192      6.3408      6.3408
   1   1      4.8500      0.0668      0.5456      6.3649      6.3649
   1   1      4.8600      0.0651      0.5293      6.3883      6.3883
   1   1      4.8700      0.0675      0.5465      6.4126      6.4126
   1   1      4.8800      0.0724      0.5841      6.4387      6.4387
   1   1      4.8900      0.0705      0.5662      6.4641      6.4641
   1   1      4.9000      0.0747      0.5975      6.4910      6.4910
   1   1      4.9100      0.0755      0.6012      6.5181      6.5181
   1   1      4.9200      0.0815      0.6464      6.5475      6.5475
   1   1      4.9300      0.0883      0.6981      6.5793      6.5793
   1   1      4.9400      0.0874      0.6876      6.6107      6.6107
   1   1      4.9500      0.0895      0.7018      6.6430      6.6430
   1   1      4.9600      0.0885      0.6911      6.6748      6.6748
   1   1      4.9700      0.0876      0.6810      6.7064      6.7064
   1   1      4.9800      0.0895      0.6934      6.7386      6.7386
   1   1      4.9900      0.0867      0.6687      6.7698      6.7698
