 --- primitive lattice vectors ---
    31  -0.0106000217  0.0107306626 -0.0009857100
    32   0.0204941645 -0.0163828512  0.0059444467
    33   0.0264736560  0.0018162521  0.0013445719
    34  -0.0321120843  0.0021190392 -0.0018607279
    35   0.0148224858 -0.0111017949  0.0020492173
    36  -0.0169583882 -0.0111229320 -0.0052119878
    37   0.0148769583  0.0123069238  0.0002833778
    38  -0.0169798597  0.0125982870  0.0029629184
 n=    21 A   IR&R
     hbarW=  0.56232345E-03 Ha =  0.15301599E-01 eV; nu=  0.12341573E+03 cm^-1
    25  -0.6261466944 -0.0035757644  0.0006832671
    26   0.6725848683  0.0029815970  0.0050450350
    27  -0.0022120150  0.0283044766 -0.0302515627
    28  -0.0593213921 -0.0211765028 -0.0324318720
    29  -0.0639582768  0.0078518748  0.0330107123
    30  -0.0056176677 -0.0143449833  0.0287229055
    31  -0.1807649071  0.0003845523 -0.0032536981
    32   0.3180446039 -0.0025700400 -0.0028312492
    33  -0.0506945872  0.0004625801 -0.0004871863
    34  -0.0466298587  0.0001316139 -0.0008388432
    35  -0.0184233530  0.0014890195 -0.0261729361
    36  -0.0161851166  0.0004092263 -0.0259260061
    37  -0.0188607354 -0.0011821347  0.0256244592
    38  -0.0166456975 -0.0002420042  0.0250301827
 n=    22 A   IR&R
     hbarW=  0.56634619E-03 Ha =  0.15411064E-01 eV; nu=  0.12429862E+03 cm^-1
    25  -0.0043138833  0.6014307759  0.0035896524
    26   0.0054448114 -0.6255950152 -0.0020741584
    27  -0.0057016252 -0.0187805175  0.0310095447
    28   0.0070540749 -0.0031993374 -0.0303880445
    29   0.0516695057 -0.0261498776 -0.0339307666
    30  -0.0550448645 -0.0429132169  0.0341786771
    31  -0.0036168677 -0.2454633379  0.0009550393
    32   0.0052489333  0.4049344615 -0.0054840453
    33   0.0023741032 -0.0489462765 -0.0299864862
    34  -0.0033908660 -0.0491521330  0.0323146026
    35   0.0013122289 -0.0174340183 -0.0208792480
    36  -0.0016979257 -0.0174609734  0.0208617361
    37   0.0015757745 -0.0153211328 -0.0212322312
    38  -0.0018976870 -0.0153970248  0.0221449896
 n=    23 A   IR&R
     hbarW=  0.56963182E-03 Ha =  0.15500470E-01 eV; nu=  0.12501974E+03 cm^-1
    25  -0.0095004225 -0.0351852391  0.0003372719
    26   0.0122353179  0.0322092607 -0.0005661462
    27  -0.1786452315  0.4561053275 -0.0290690400
    28   0.1823856198  0.4674392714  0.0324353003
    29   0.1821969380 -0.4565716453 -0.0256941298
    30  -0.1872425229 -0.4672833208  0.0256019613
    31  -0.0003428421  0.0038901859  0.0008226652
    32   0.0021463923 -0.0038923780 -0.0037641776
    33   0.0405828737  0.0044435029  0.0000784807
    34  -0.0460513403  0.0046936801 -0.0006578974
    35   0.0229279831 -0.0164041147  0.0046889171
    36  -0.0247762102 -0.0163704315 -0.0054502816
    37   0.0230948713  0.0189245733 -0.0036920631
    38  -0.0247590068  0.0192424218  0.0042321991
 n=    24 A   IR&R
     hbarW=  0.77210804E-03 Ha =  0.21010128E-01 eV; nu=  0.16945813E+03 cm^-1
    25   0.0258977216  0.4761102825  0.0009974657
    26   0.0218519912  0.5220856864  0.0000288650
    27  -0.2677361350 -0.2428882220 -0.0117946307
    28   0.2397641269 -0.2239450521  0.0105410341
    29  -0.2719421760 -0.2475582073  0.0120839758
