 --- primitive lattice vectors ---
    37  -0.0025451625 -0.0071473821 -0.0290798570
    38  -0.0029952887 -0.0071315465 -0.0264765027
 n=    11 A   IR&R
     hbarW=  0.28797503E-03 Ha =  0.78361991E-02 eV; nu=  0.63203215E+02 cm^-1
    17   0.0078425799  0.0846946931 -0.0046053675
    18  -0.0091698273  0.0841468131 -0.0204172933
    19   0.0004392668  0.0295363022  0.2179102965
    20   0.0040936508  0.0458296357 -0.2055789494
    21  -0.0158192965 -0.0599759842  0.0101531092
    22   0.0117758592 -0.0585354962  0.0015801607
    23  -0.0018261621 -0.0641359387  0.0592737038
    24  -0.0050846991 -0.0925863832 -0.0605709714
    25  -0.0033675020 -0.2992162195 -0.0105657784
    26  -0.0090158159 -0.0079125244  0.0107734558
    27  -0.1691156902  0.0374592783 -0.1124606426
    28   0.1707652296  0.0411516073  0.1216165310
    29  -0.1729686041  0.0276656827  0.1125875946
    30   0.1705406952  0.0509760926 -0.1253421023
    31   0.0039912049  0.1379509752 -0.0019045441
    32   0.0106650441  0.3778794671  0.0034869958
    33   0.0071520865 -0.4148725355 -0.0843481062
    34  -0.0032462288 -0.4149963490  0.0888110350
    35   0.0033005756 -0.1282047451 -0.0503972396
    36  -0.0022602896 -0.1282511162  0.0518636570
    37   0.0034396789 -0.1246686736 -0.0515036874
    38  -0.0021357846 -0.1249228124  0.0522226284
 n=    12 A   IR&R
     hbarW=  0.30026348E-03 Ha =  0.81705849E-02 eV; nu=  0.65900218E+02 cm^-1
    17  -0.2024314407  0.0089525000  0.1823176604
    18   0.2014663922  0.0000334871  0.3772927633
    19  -0.0324057912  0.1249021522 -0.0464942179
    20  -0.0270805681 -0.1193617475 -0.0746491690
    21   0.3007643810 -0.0060995231 -0.2073274115
    22  -0.2544402567 -0.0007226975 -0.0927176070
    23   0.0379438371 -0.3357911634 -0.0471883979
    24   0.0327553850  0.3297255996 -0.0688731378
    25   0.0218109587 -0.0169299775  0.2247181192
    26   0.1094335292  0.0050092399 -0.2177240518
    27  -0.0176360203 -0.0254578141 -0.0782887299
    28  -0.0047938068  0.0308389506 -0.0571358232
    29  -0.0012179255  0.1812341428  0.0732187938
    30   0.0116409947 -0.1774982128  0.0561345208
    31  -0.0464289683  0.0045302023  0.1674045806
    32  -0.1390315695  0.0212789486 -0.1286602561
    33   0.0220529152 -0.0147206256 -0.0342125397
    34   0.0210025173 -0.0160845002 -0.0271677388
    35   0.0074041983 -0.0052090370 -0.0064067670
    36   0.0068333856 -0.0046634739 -0.0023022332
    37   0.0076270328 -0.0040101112 -0.0167221614
    38   0.0070702365 -0.0050732541 -0.0124641504
 n=    13 A   IR&R
     hbarW=  0.30079501E-03 Ha =  0.81850485E-02 eV; nu=  0.66016875E+02 cm^-1
    17  -0.0691567275 -0.0066770331  0.3773888420
    18   0.0755673998  0.0034208090 -0.1935872427
    19   0.0882190547  0.0455792310 -0.0263846820
    20   0.0850343765 -0.0474046344 -0.0218603064
    21   0.0360286960  0.0015051495  0.1034279018
    22  -0.1640460789 -0.0008501519 -0.2015888857
    23  -0.0983951690 -0.1175523734 -0.0189342917
    24  -0.0955259863  0.1182511849 -0.0179848443
    25  -0.0677847438  0.0023600615  0.0781979490
    26  -0.3195183044 -0.0005211035 -0.0734698845
    27   0.0064339965 -0.2619810322  0.1862362276
    28   0.0033065694  0.2582348449  0.1815432671
    29   0.0146706943 -0.1928055822 -0.1844292919
    30   0.0112920397  0.1933692114 -0.1872046062
    31   0.1380869160 -0.0015872207  0.0557894583
    32   0.4047959036 -0.0041898877 -0.0397178778
    33  -0.0584498976  0.0057308917 -0.0112919139
    34  -0.0574138774  0.0052740240 -0.0132477279
    35  -0.0196490089  0.0030952068 -0.0164055238
    36  -0.0190890275  0.0006927899 -0.0175315658
    37  -0.0198475299  0.0003785310  0.0103417941
    38  -0.0193058800  0.0025876603  0.0091262856
 n=    14 A   IR&R
     hbarW=  0.36472317E-03 Ha =  0.99246221E-02 eV; nu=  0.80047484E+02 cm^-1
    17  -0.0010104990 -0.3538214671  0.0128958051
    18  -0.0000019108  0.3523475164 -0.0097311951
    19   0.3563445483 -0.0002162720 -0.0073957672
    20  -0.3590788899 -0.0012833414  0.0056208427
    21   0.0009776986  0.3495237840 -0.0140362651
    22  -0.0020991422 -0.3540026331  0.0121780228
    23  -0.3503203987 -0.0034259294  0.0080983313
    24   0.3501496746 -0.0001244587 -0.0050826750
    25   0.0082988134 -0.0042589148  0.0030792565
    26   0.0090395404 -0.0032777134 -0.0021414409
    27  -0.0008754393  0.0012605644 -0.0157074501
    28  -0.0012070785 -0.0005135476  0.0130090977
    29   0.0010587985  0.0047014980 -0.0090770923
    30   0.0023442193  0.0001251872  0.0124420224
    31  -0.0070016438  0.0046337590  0.0005221244
    32  -0.0083638389  0.0070519879 -0.0029707050
    33   0.0045674201  0.0007387703 -0.0020338315
    34  -0.0011109676  0.0007958047 -0.0010625008
    35   0.0020629323 -0.0009336344 -0.0000267213
    36  -0.0009240764 -0.0008914739  0.0002537110
    37   0.0020881545  0.0013027771 -0.0013133959
    38  -0.0009202224  0.0012922765 -0.0005267484
 n=    15 A   IR&R
     hbarW=  0.40908744E-03 Ha =  0.11131835E-01 eV; nu=  0.89784317E+02 cm^-1
    17  -0.0015906728  0.0323629153 -0.0010247100
    18   0.0015725652  0.0174989086  0.0011905589
    19  -0.0036543157  0.0158607428 -0.4637455372
    20   0.0025804336  0.0091690239  0.4712117014
    21  -0.0043442328  0.0209279375 -0.0038188009
    22   0.0052620131  0.0326020245 -0.0087938257
    23   0.0057191078  0.0484246060  0.4220600961
    24  -0.0042535161  0.0424817594 -0.4136524020
    25  -0.0009264255 -0.2337006477 -0.0031349415
    26  -0.0011188296 -0.2710100122  0.0087701783
    27   0.0449592396 -0.0190162992  0.0064337907
    28  -0.0477457887 -0.0154266232 -0.0061619121
    29   0.0465469050 -0.0174786947 -0.0123681396
    30  -0.0436289131 -0.0211923272  0.0123734109
    31   0.0007259838  0.1829571711  0.0028515601
    32   0.0009774157  0.1753232068 -0.0088881726
    33   0.0008059392 -0.0194004320 -0.0307747522
    34  -0.0002784592 -0.0193861070  0.0241492150
    35   0.0002102767 -0.0072664377 -0.0168773151
    36  -0.0000699370 -0.0072813082  0.0151989415
    37   0.0005565297 -0.0070399529 -0.0172566275
    38  -0.0003875444 -0.0070642151  0.0153389567
 n=    16 A   IR&R
     hbarW=  0.42990103E-03 Ha =  0.11698202E-01 eV; nu=  0.94352371E+02 cm^-1
    17   0.0293655408 -0.0083658285 -0.4484616032
    18   0.0251535427  0.0053399620  0.4537621705
    19   0.0469892231 -0.0011609626  0.0014780543
    20   0.0225817649  0.0002588518 -0.0036820939
    21   0.0685605323  0.0099058422  0.4320887805
    22   0.0682079647 -0.0090085485 -0.4312084408
    23   0.0385365822 -0.0028302815 -0.0029593057
    24   0.0616317333  0.0018761479 -0.0021701509
    25  -0.2791892385  0.0003913411  0.0053846280
    26  -0.2364264605  0.0021403845 -0.0008021491
    27  -0.0291653703  0.0405548428 -0.0192764636
    28  -0.0293999347 -0.0390103275 -0.0114790339
    29  -0.0315038091  0.0384474999  0.0150770280
    30  -0.0312895128 -0.0383135665  0.0237118136
    31   0.1675340079 -0.0010345442 -0.0037398298
    32   0.1543354154  0.0006950820 -0.0065105476
    33  -0.0366906005  0.0004946868 -0.0010090414
    34  -0.0383631877  0.0001747136 -0.0008776721
    35  -0.0121439346 -0.0000993277 -0.0144942811
    36  -0.0130117338 -0.0003293136 -0.0144977142
    37  -0.0123660390  0.0003480568  0.0134925507
    38  -0.0132634031  0.0005039830  0.0136892281
 n=    17 A   IR&R
     hbarW=  0.44084516E-03 Ha =  0.11996007E-01 eV; nu=  0.96754332E+02 cm^-1
    17   0.0587394835 -0.0024321930  0.2281020370
    18  -0.0724560576 -0.0005263204  0.2286387080
    19  -0.0033626156 -0.1160988385 -0.2011801521
    20  -0.0032085614  0.1167440822 -0.1929733309
    21  -0.0418264852  0.0012487851  0.1235228321
    22   0.0257161475 -0.0018893729  0.1173279604
